,epoch,phase,loss,accuracy
0,1/50,train,0.19972337782382965,0
1,1/50,valid,0.0,0
2,2/50,train,0.16199427843093872,0
3,2/50,valid,0.0,0
4,3/50,train,0.1335071474313736,0
5,3/50,valid,0.0,0
6,4/50,train,0.10121908783912659,0
7,4/50,valid,0.0,0
8,5/50,train,0.06644102931022644,0
9,5/50,valid,0.0,0
10,6/50,train,0.05608262121677399,0
11,6/50,valid,0.0,0
12,7/50,train,0.047821998596191406,0
13,7/50,valid,0.0,0
14,8/50,train,0.04208562523126602,0
15,8/50,valid,0.0,0
16,9/50,train,0.041443634778261185,0
17,9/50,valid,0.0,0
18,10/50,train,0.04051496833562851,0
19,10/50,valid,0.0,0
20,11/50,train,0.03944384679198265,0
21,11/50,valid,0.0,0
22,12/50,train,0.038733769208192825,0
23,12/50,valid,0.0,0
24,13/50,train,0.038597773760557175,0
25,13/50,valid,0.0,0
26,14/50,train,0.03845273330807686,0
27,14/50,valid,0.0,0
28,15/50,train,0.03830290213227272,0
29,15/50,valid,0.0,0
30,16/50,train,0.03828973323106766,0
31,16/50,valid,0.0,0
32,17/50,train,0.038275912404060364,0
33,17/50,valid,0.0,0
34,18/50,train,0.03826183080673218,0
35,18/50,valid,0.0,0
36,19/50,train,0.038253579288721085,0
37,19/50,valid,0.0,0
38,20/50,train,0.03825245425105095,0
39,20/50,valid,0.0,0
40,21/50,train,0.03825133293867111,0
41,21/50,valid,0.0,0
42,22/50,train,0.0382501594722271,0
43,22/50,valid,0.0,0
44,23/50,train,0.03824993222951889,0
45,23/50,valid,0.0,0
46,24/50,train,0.03825002536177635,0
47,24/50,valid,0.0,0
48,25/50,train,0.03825002908706665,0
49,25/50,valid,0.0,0
50,26/50,train,0.03824993968009949,0
51,26/50,valid,0.0,0
52,27/50,train,0.03824995458126068,0
53,27/50,valid,0.0,0
54,28/50,train,0.03825001046061516,0
55,28/50,valid,0.0,0
56,29/50,train,0.03824995085597038,0
57,29/50,valid,0.0,0
58,30/50,train,0.038249921053647995,0
59,30/50,valid,0.0,0
60,31/50,train,0.03824992477893829,0
61,31/50,valid,0.0,0
62,32/50,train,0.03824993222951889,0
63,32/50,valid,0.0,0
64,33/50,train,0.038249947130680084,0
65,33/50,valid,0.0,0
66,34/50,train,0.038249947130680084,0
67,34/50,valid,0.0,0
68,35/50,train,0.038249947130680084,0
69,35/50,valid,0.0,0
70,36/50,train,0.038249947130680084,0
71,36/50,valid,0.0,0
72,37/50,train,0.038249947130680084,0
73,37/50,valid,0.0,0
74,38/50,train,0.038249947130680084,0
75,38/50,valid,0.0,0
76,39/50,train,0.038249947130680084,0
77,39/50,valid,0.0,0
78,40/50,train,0.038249947130680084,0
79,40/50,valid,0.0,0
80,41/50,train,0.038249947130680084,0
81,41/50,valid,0.0,0
82,42/50,train,0.038249947130680084,0
83,42/50,valid,0.0,0
84,43/50,train,0.038249947130680084,0
85,43/50,valid,0.0,0
86,44/50,train,0.038249947130680084,0
87,44/50,valid,0.0,0
88,45/50,train,0.038249947130680084,0
89,45/50,valid,0.0,0
90,46/50,train,0.038249947130680084,0
91,46/50,valid,0.0,0
92,47/50,train,0.038249947130680084,0
93,47/50,valid,0.0,0
94,48/50,train,0.038249947130680084,0
95,48/50,valid,0.0,0
96,49/50,train,0.038249947130680084,0
97,49/50,valid,0.0,0
98,50/50,train,0.038249947130680084,0
99,50/50,valid,0.0,0
